City,Country,Latitude,Temperature (C),Humidity,Cloud Cover (%),Wind Speed (km/h)
Buchanan,LR,5.88,23.0,94,75,4.39
Busselton,AU,-33.64,16.33,97,92,9.64
Kavieng,PG,-2.57,28.23,100,44,3.01
Chokurdakh,RU,70.62,5.43,88,0,3.71
Cidreira,BR,-30.17,13.48,89,0,6.24
Puerto Escondido,MX,15.86,27.0,74,20,5.1
Talnakh,RU,69.49,9.73,73,20,5.29
Rikitea,PF,-23.12,23.08,100,24,3.24
Hampton,US,42.74,21.45,94,75,2.6
Zhigalovo,RU,54.81,12.88,79,0,1.29
Bambous Virieux,MU,-20.34,22.0,64,75,2.71
Roald,NO,62.58,15.0,93,76,2.1
Nikolskoye,RU,59.7,13.0,93,20,2
Vao,EE,59.1,14.48,74,0,3.24
Port Elizabeth,US,39.31,28.61,88,1,3.74
Victoria,BN,5.28,25.49,88,75,1
Souillac,FR,45.6,19.45,72,0,2.6
Lebu,ET,8.96,9.53,86,68,1.94
Caravelas,BR,-17.73,23.28,100,92,10.34
Bredasdorp,ZA,-34.53,8.0,87,80,3.1
Qaanaaq,GL,77.48,3.48,90,80,0.99
Severo-Kurilsk,RU,50.68,12.58,94,56,1.59
Kapaa,US,22.08,29.65,69,75,8.2
Te Anau,NZ,-45.41,6.93,99,24,1.61
Ushuaia,AR,-54.81,0.0,100,20,3.6
Mataura,NZ,-46.19,9.43,100,68,2.04
Jamestown,AU,-33.21,10.33,87,88,7.11
Saucillo,MX,28.03,32.78,21,56,3.06
Yumen,CN,40.29,17.23,49,0,2.24
Danville,US,36.59,25.2,94,90,1.74
Bathsheba,BB,13.22,28.0,74,40,7.7
Puerto Ayora,EC,-0.74,26.0,57,20,7.7
Itoman,JP,26.12,29.0,83,75,3.6
Palu,ID,-0.9,21.48,75,0,0.76
Bethel,US,60.79,13.0,76,90,5.1
Hithadhoo,MV,-0.6,26.38,100,68,1.91
Castro,CL,-42.48,4.48,100,20,1.74
Katsuura,JP,33.93,24.0,73,75,1
Wharton,GB,53.2,14.69,67,90,2.1
Hobart,AU,-42.88,11.0,71,40,8.7
Tasiilaq,GL,65.61,4.0,86,8,4.31
Longyearbyen,NO,78.22,8.0,75,20,5.1
General Roca,AR,-39.03,12.0,37,20,3.1
Cam Ranh,VN,11.92,25.28,100,92,2.19
Buraydah,SA,26.33,32.0,25,0,2.6
Jumla,NP,29.28,3.38,90,32,1.36
Ribeira Grande,PT,38.52,22.83,100,12,3.99
Matagami,NG,9.67,19.83,99,76,1.24
Camacha,PT,33.08,22.0,73,75,7.2
Vostok,RU,46.45,17.98,70,56,1.29
Jalu,LY,29.03,32.13,31,0,4.81
Yellowknife,CA,62.45,18.0,55,75,3.6
Albany,US,42.65,24.36,78,75,2.6
Arraial do Cabo,BR,-22.97,17.68,100,48,1.46
Hermanus,ZA,-34.42,2.03,100,32,1.24
Punta Arenas,CL,-53.16,2.0,93,75,2.6
Bluff,AU,-23.58,17.53,30,0,2.16
Aberdeen,US,45.47,29.0,48,20,6.7
Marawi,PH,8,24.53,82,12,1.89
Sanmenxia,CN,34.77,27.73,79,0,1.51
New Norfolk,AU,-42.78,11.0,71,40,8.7
Anadyr,RU,64.73,16.0,77,75,7
Bereda,ES,43.27,18.0,82,92,1
Naze,NG,5.43,23.0,100,75,1.5
Broken Hill,AU,-31.97,11.68,59,0,6.06
Hilo,US,19.71,26.31,65,90,5.1
Khatanga,RU,71.98,10.68,91,0,1.91
Popondetta,PG,-8.77,22.48,86,56,1.04
Sangar,RU,63.92,17.33,85,0,1.26
Hortolandia,BR,-22.86,17.0,77,0,7.7
Tuatapere,NZ,-46.13,8.58,100,92,1.84
Ketchikan,US,55.34,21.86,41,40,5.7
Pevek,RU,69.7,2.48,100,80,5.31
Arang,IN,21.2,22.83,97,92,4.81
Araouane,ML,18.9,32.03,40,0,4.86
Coihaique,CL,-45.58,4.0,80,75,1.5
Kijang,KR,35.24,28.0,69,0,4.1
Bagratashen,GE,41.24,25.0,69,75,1
Georgetown,GY,6.8,26.0,88,20,4.1
Punta Alta,AR,-27.46,20.0,68,0,3.6
Lar,IR,27.66,23.38,40,0,0.79
Schattdorf,CH,46.86,21.47,49,64,2.6
Kruisfontein,ZA,-34,12.48,86,32,8.81
Sal Rei,CV,16.18,25.0,78,75,3.6
Port Alfred,ZA,-33.59,13.33,93,8,9.71
Cape Town,ZA,-33.93,6.0,93,20,1.5
Saint-Philippe,CA,45.36,26.24,69,20,3.6
Avarua,CK,-21.21,22.0,94,90,4.6
Hayrabolu,TR,41.21,23.0,94,0,5.7
Kodiak,US,39.95,29.0,66,20,2.1
Kirove,UA,47.83,19.83,75,12,2.84
Faya,SA,18.39,19.46,49,0,2.01
Butaritari,KI,3.07,28.43,100,8,3.24
Brae,GB,60.4,11.72,87,0,1
Nome,US,30.04,26.98,74,1,1.5
Atuona,PF,-9.8,24.83,100,44,6.41
Bull Savanna,JM,17.89,26.58,71,56,4.36
Guerrero Negro,MX,27.97,30.58,45,0,3.59
Yukamenskoye,RU,57.89,15.28,85,88,0.61
Chateauroux,FR,43.72,21.02,88,40,2.6
Dingle,PH,11,24.23,98,92,4.26
Upernavik,GL,72.79,5.73,86,92,2.71
Ponta do Sol,BR,-20.63,14.33,81,0,1.26
Geraldton,CA,49.72,20.0,56,20,4.6
Mount Gambier,AU,-37.83,10.48,96,92,3.96
Kavaratti,IN,10.57,28.58,93,92,11.16
Kpandu,GH,7,24.83,79,56,4.89
Ilulissat,GL,69.22,14.0,58,75,6.7
Bilibino,RU,68.06,11.23,62,12,1.39
Boddam,GB,57.47,14.0,62,56,3.1
Grindavik,IS,63.84,9.19,81,75,8.7
Fortuna,ES,38.18,27.0,88,20,1.5
Voh,NC,-20.95,21.98,96,8,1.71
Ahipara,NZ,-35.17,13.48,99,92,6.34
Mar del Plata,AR,-46.43,1.98,85,0,2.61
Cap Malheureux,MU,-19.98,22.0,64,75,5.04
Torbay,CA,47.66,21.0,83,40,2.6
Husavik,CA,50.56,22.53,88,36,4.66
Saint George,GR,39.45,21.0,73,0,2.1
Mudhol,IN,16.33,21.33,97,100,4.61
Vila Velha,BR,-3.71,26.0,83,75,5.1
Grand Gaube,MU,-20.01,22.0,64,75,5.04
Narsaq,GL,60.91,10.0,53,64,2.6
Faanui,PF,-16.48,26.88,99,24,9.34
Provideniya,RU,64.42,10.0,81,90,4
Lagos,NG,6.46,25.0,83,20,1
Manakara,MG,-22.14,19.23,99,0,4.26
Escanaba,US,45.75,20.0,72,1,3.1
Sao Miguel do Araguaia,BR,-13.28,23.23,84,0,1.21
Yeppoon,AU,-23.13,16.0,36,0,2.1
Dikson,RU,73.51,9.53,81,36,9.11
Saskylakh,RU,71.97,15.98,84,0,2.16
Wakefield,GB,53.68,14.5,81,40,4.1
Vila Franca do Campo,PT,37.72,20.0,77,40,1.5
Edd,ER,13.93,24.83,61,24,1.04
Jodhpur,IN,26.3,26.43,77,64,2.61
Thompson,CA,55.74,18.0,93,90,3.1
Hualmay,PE,-11.1,14.98,95,32,2.24
Kupang,ID,-10.16,25.0,88,40,6.2
Vaini,IN,15.34,20.78,98,100,3.64
Cherskiy,RU,68.75,8.13,68,0,1.89
Zeya,RU,53.74,14.33,100,88,1.59
Svay Rieng,KH,11.08,24.08,97,88,3.74
Victoria,BN,5.28,25.49,88,75,1
Linxia,CN,35.6,13.43,97,92,1.26
Daru,SL,7.99,21.98,99,92,2.26
Imbituba,BR,-28.24,14.0,87,0,1
Kaitangata,NZ,-46.28,10.13,96,32,1.91
Cabo San Lucas,MX,22.89,25.55,88,90,7.2
Ponta Delgada,PT,37.73,20.0,77,40,1.5
Codrington,AU,-28.95,13.98,66,0,1.56
Saldanha,PT,41.42,14.83,78,0,1.36
Mount Isa,AU,-20.73,14.0,30,0,3.6
Poum,MK,41.28,15.63,85,0,0.89
Kem,UG,2.68,15.08,88,0,1.46
Tuktoyaktuk,CA,69.44,8.0,87,90,6.2
Sumkino,RU,58.11,14.33,88,0,1.11
Nanortalik,GL,60.14,6.23,94,80,5.54
Mecca,SA,21.43,22.73,89,0,1.14
Sitka,US,37.17,29.48,66,0,2.06
Inhambane,MZ,-23.87,23.03,88,0,2.91
Rincon,US,32.3,30.24,70,1,3.29
Pisco,PE,-13.71,17.0,82,0,5.7
Saint Anthony,US,43.97,29.32,28,1,4.1
Jhabua,IN,22.77,23.63,99,92,2.74
Yining,CN,29.04,28.08,79,8,1.24
Santana do Livramento,BR,-30.89,14.13,78,0,5.04
Gairatganj,IN,23.42,22.23,97,92,3.71
Lasa,CY,34.92,25.65,88,20,3.1
Kununurra,AU,-15.77,16.0,41,0,0.5
Esperance,TT,10.24,27.0,88,40,5.1
Dwarka,IN,28.58,27.0,94,75,2.1
Okhotsk,RU,59.36,14.23,92,44,1.56
Monrovia,LR,6.33,23.0,94,75,3.84
Bayeux,FR,49.28,16.65,88,90,7.2
Fitchburg,US,42.58,26.72,94,90,3.1
Kuito,AO,-12.38,8.63,54,0,1.21
Lata,IN,30.78,13.13,98,8,0.69
Julfa,AZ,38.95,25.0,44,0,6.2
Danielskuil,ZA,-28.19,-3.82,54,0,2.81
Richards Bay,ZA,-28.77,15.33,70,0,5.09
Santa Cruz Cabralia,BR,-16.28,24.0,83,75,2.6
Kuryk,KZ,43.18,25.13,52,0,2.74
Biu,NG,10.61,21.83,90,44,1.11
Shubarshi,KZ,48.59,21.08,48,8,4.21
Tooele,US,40.53,32.7,18,1,4.1
Sao Filipe,CV,14.9,24.08,100,0,3.59
Inuvik,CA,68.36,7.6,93,90,6.7
Humaita,AR,-24.93,18.81,34,0,4.1
Pala,IN,9.71,24.0,94,90,2.1
Ostrovnoy,RU,68.05,6.33,85,8,4.19
Praia da Vitoria,PT,38.73,23.0,78,40,4.66
Oistins,BB,13.07,28.0,74,40,7.7
Lavrentiya,RU,65.58,8.13,96,92,1.89
Vanavara,RU,60.35,10.58,83,0,1.66
San Carlos de Bariloche,AR,-41.13,4.0,60,20,2.6
Iwanai,JP,42.97,20.43,90,24,1.84
Tocopilla,CL,-22.09,14.08,98,8,1.06
Chimoio,MZ,-19.11,19.0,82,0,3.1
Rome,IT,41.89,24.05,78,0,2.6
Ballina,IE,54.11,12.73,100,64,3.74
Jardim,BR,-21.48,21.93,78,64,3.99
Albi,FR,43.93,18.0,100,32,2.1
Aku,NG,7.36,22.73,96,64,2.96
Tiksi,RU,71.64,11.58,78,0,3.36
Saint-Augustin,FR,44.83,19.44,77,40,2.6
Benguela,AO,-12.58,18.98,100,56,1.39
Praia,BR,-20.25,19.0,88,0,5.7
Acapulco,MX,16.86,31.0,66,75,3.1
East London,ZA,-33.02,14.98,100,0,13.26
Moose Factory,CA,51.26,19.0,59,20,3.6
Isiro,CD,2.77,18.48,100,80,0.99
Fond du Lac,US,43.77,21.18,83,90,1.71
Burns Lake,CA,54.23,23.03,44,0,2.49
Salta,AR,-24.79,18.85,34,0,4.1
Oum Hadjer,TD,13.3,20.88,99,100,2.24
Burnie,AU,-41.05,11.58,100,68,12.34
Port Macquarie,AU,-31.43,10.0,61,0,1.5
Pierre,US,44.37,31.0,27,1,2.1
Sault Sainte Marie,CA,46.49,17.3,72,1,3.1
Dunedin,NZ,-45.87,9.23,88,36,1.74
Nipawin,CA,53.36,25.0,57,20,5.1
Jinchang,CN,38.52,15.83,75,32,1.89
Kitzbuhel,AT,47.45,20.0,77,40,3.1
Avera,US,33.19,25.41,83,1,1.46
Sampit,ID,-2.54,24.48,85,0,3.06
Dhrol,IN,22.57,26.48,100,100,5.71
Urengoy,RU,65.96,12.93,87,88,7.76
Molchanovo,RU,57.58,8.88,92,0,1.61
Thabazimbi,ZA,-24.59,12.98,52,12,1.14
Verkhnevilyuysk,RU,63.45,16.93,82,48,1.51
Galle,US,29.74,34.98,44,1,7.7
Lichinga,MZ,-13.3,8.93,88,0,1.11
Blackwater,GB,51.33,17.51,72,20,5.1
Mahebourg,MU,-20.41,22.0,64,75,2.71
Suzhou,CN,33.65,31.13,87,0,2.19
Mumford,GH,5.26,23.93,85,76,5.11
Vaitape,PF,-16.52,27.13,95,12,9.66
Touros,BR,-5.2,25.13,83,68,6.44
Coroico,BO,-16.19,7.0,52,75,4.6
Barrow,AR,-38.31,13.43,100,92,4.31
Valparaiso,US,41.47,24.54,100,75,2.6
Chuy,UY,-33.69,13.33,80,0,8.01
Namatanai,PG,-3.66,26.53,100,68,3.76
Otane,NZ,-39.89,11.88,86,100,3.94
Norman Wells,CA,65.28,16.0,82,75,3.6
Waki,JP,34.19,26.19,51,20,3.1
Zarand,IR,30.81,15.58,45,0,1.34
Carnarvon,ZA,-30.97,-6.82,69,0,1.66
Airai,TL,-8.93,22.63,66,0,1.01
Baoying,CN,33.24,28.93,83,0,2.91
Formosa,AR,-26.19,24.0,60,76,7.2
Kaduqli,SD,11.01,17.83,95,12,0.24
Adrar,DZ,27.87,34.0,20,0,3.1
Tual,ID,-5.67,26.43,97,64,7.21
Saint-Joseph,FR,43.56,23.99,83,0,1
Walvis Bay,NA,-22.95,13.58,100,0,7.29
Rawson,AR,-43.3,5.78,60,0,4.51
Mwanza,TZ,-2.52,21.28,79,0,2.36
Cockburn Town,TC,21.46,28.08,98,24,7.79
Ucluelet,CA,48.94,18.0,82,20,5.7
Mehamn,NO,71.03,9.33,88,92,9.69
Hambantota,LK,6.12,25.33,100,56,7.31
Seddon,NZ,-41.67,10.73,100,92,5.84
Clyde River,CA,70.47,7.0,70,75,4.6
Mawlaik,MM,23.63,23.08,96,76,0.94
Mori,JP,34.86,30.0,62,75,1
Comodoro Rivadavia,AR,-45.87,6.0,93,0,0.79
Xinmin,CN,42,24.0,88,0,3
Jurm,AF,36.86,6.48,96,80,0.24
Ormara,PK,25.21,25.58,97,56,1.44
Carmen,PH,7.2,26.78,81,24,1.94
Neuquen,AR,-38.95,12.0,37,20,3.1
Rio Gallegos,AR,-51.62,1.0,80,0,1.5
Piacabucu,BR,-10.41,22.18,83,8,3.04
Bojnurd,IR,37.47,21.0,56,20,2.1
Namibe,AO,-15.19,17.93,100,0,3.01
Zunyi,CN,27.73,19.38,98,92,1.29
Khartoum,SD,15.59,27.0,74,0,4.6
Mastic Beach,US,40.77,25.67,100,90,4.6
Luangwa,MZ,-15.62,16.58,70,0,1.29
Baracoa,CU,20.35,27.73,99,8,4.51
Batagay-Alyta,RU,67.8,15.18,53,0,1.81
Carupano,VE,10.67,26.63,87,36,6.46
San Cristobal,EC,-0.39,15.0,67,75,7.7
Pandan,PH,11.72,26.58,100,56,10.21
Aswan,EG,24.09,28.13,41,0,3.84
Sitrah,BH,26.15,35.22,67,5,8.7
Gimli,CA,50.63,22.53,88,36,4.66
Ahuimanu,US,21.44,30.26,58,75,5.7
Pilar,AR,-34.46,16.32,63,0,4.6
Copiapo,CL,-27.37,14.0,76,0,3.1
Karagay,RU,58.27,13.63,86,76,1.24
Kapit,MY,2.02,23.18,95,8,1.29
Yarada,IN,17.65,25.43,100,100,11.59
Katherine,AU,-14.47,18.0,59,0,3.6
Artyom,RU,43.36,18.0,93,75,1
Varkaus,FI,62.32,9.0,100,0,3.51
Payson,US,40.04,32.47,24,1,3.6
Pangnirtung,CA,66.15,6.03,95,92,3.04
Baixa Grande,BR,-11.96,23.33,65,0,3.24
Cayenne,GF,4.94,25.0,100,64,4.16
Jinan,CN,36.65,30.48,82,24,4.44
Agapovka,RU,53.3,16.0,93,68,1
Luderitz,NA,-26.65,12.23,76,0,11.81
Goldsboro,US,35.38,30.4,79,1,1.5
Riyadh,SA,24.63,35.0,18,0,5.1
Makakilo City,US,21.35,30.25,40,20,2.1
Fare,PF,-16.7,27.03,95,12,9.71
Umm Lajj,SA,25.02,25.53,100,0,2.46
Nara,JP,34.68,27.5,61,40,4.1
Port Blair,IN,11.67,26.78,100,68,9.36
Khasan,RU,42.43,20.73,100,92,3.54
Ossora,RU,59.24,15.48,91,92,1.46
Carutapera,BR,-1.2,26.73,79,48,5.06
Miri,NG,10.31,20.48,91,48,2.01
Ustupo,PA,9.13,26.03,95,68,1.04
Pskov,RU,57.82,10.0,93,0,1.51
Sandpoint,US,48.28,32.49,22,1,3.1
Micheweni,TZ,-4.97,24.73,100,68,3.49
Zhigansk,RU,66.77,18.63,62,0,1.36
Nelson Bay,AU,-32.72,12.0,54,0,6.2
Pakhtakoron,UZ,40.16,22.78,52,0,2.79
Tortoli,IT,39.93,25.0,78,0,2.01
Togul,RU,53.47,11.43,87,48,1.21
Beloha,MG,-25.17,14.03,81,0,1.51
Taoudenni,ML,22.68,28.33,49,48,1.66
Arman,RU,59.7,14.0,93,75,4
Aitape,PG,-3.15,25.98,100,68,1.69
San Patricio,PY,-26.98,21.23,63,0,2.96
Alice Springs,AU,-23.7,8.0,33,0,1.5
Aleksandrovskiy Zavod,RU,50.92,17.58,87,8,1.56
Laguna,MX,27.52,34.0,41,75,6.7
Flagstaff,US,35.2,31.48,11,1,2.6
Auki,NG,12.18,23.58,90,48,2.36
Banda Aceh,ID,5.56,24.13,95,32,2.39
Road Town,VG,18.42,28.56,78,20,2.6
Leh,IN,34.16,2.08,96,92,0.71
Taltal,CL,-25.41,12.48,89,0,1.06
Port Lincoln,AU,-34.72,13.93,92,0,7.01
Makueni,KE,-1.8,12.63,94,0,1.06
Abalak,NE,15.46,24.73,78,32,4.39
Honningsvag,NO,70.98,9.98,91,92,9.94
Tarakan,ID,3.3,27.13,98,0,2.49
Moissala,TD,8.34,22.83,92,36,1.39
Ha Giang,VN,22.83,20.13,99,92,0.84
Alexandria,US,31.31,26.03,83,1,2.04
Barabai,ID,-2.59,23.58,90,48,0.79
Kumbo,CM,6.21,17.33,97,88,1.06
Gigmoto,PH,13.78,28.23,99,92,7.54
Petropavlovsk-Kamchatskiy,RU,53.05,15.0,87,90,2
Payo,ID,-3.75,25.68,68,92,2.56
Coronado,PA,8.53,28.0,83,40,4.6
Christiansburg,US,37.13,25.58,83,1,1.36
Kabare,RW,-1.65,14.73,99,64,1.06
Valladolid,ES,41.65,16.93,53,0,2.36
Bosaso,SO,11.28,31.83,80,0,7.14
Lerwick,GB,60.15,12.0,81,0,1
Huarmey,PE,-10.07,16.63,73,0,1.69
Leningradskiy,RU,69.38,1.98,98,92,10.66
Dicabisagan,PH,17.08,25.98,100,88,3.54
Gizo,IL,31.8,27.0,69,20,2.1
Ayagoz,KZ,47.96,14.58,59,0,2.59
Penzance,GB,50.12,15.0,82,88,5.7
Kuytun,RU,54.34,12.48,84,0,1.51
Iranshahr,IR,27.21,21.73,28,8,0.46
Haimen,CN,31.87,29.98,80,0,3.14
Boa Vista,BR,2.82,27.0,88,40,0.5
Euclides da Cunha,BR,-10.51,22.93,70,0,4.61
Konstantinovka,MD,47.99,15.63,85,0,1.36
Gushikawa,JP,26.35,29.0,83,75,3.6
Inverness,GB,57.48,11.78,81,8,2.6
Bulata,PH,9.86,24.48,100,92,4.99
Dulyapino,RU,57.26,13.78,94,88,4.54
San Policarpo,PH,12.18,28.68,90,92,6.11
Mogadishu,SO,2.04,24.43,100,20,9.04
Nata,CY,34.78,25.63,88,20,3.1
Mahibadhoo,MV,3.78,26.18,100,80,6.79
Bonavista,CA,48.65,19.73,78,36,5.21
Kedrovyy,RU,56.17,7.0,93,0,2.86
Ogulin,HR,45.27,25.0,73,0,1.5
Broome,GB,52.47,19.81,88,80,4.1
Salalah,OM,17.01,26.0,88,90,1.5
Shimoda,JP,34.7,25.88,94,75,12.9
Along,IN,28.17,20.48,98,100,0.54
The Valley,AI,18.22,28.04,74,20,4.1
Kaeo,NZ,-35.1,13.88,88,92,4.29
Ilinskiy,RU,55.62,13.78,77,40,5
Qaqortoq,GL,60.72,10.0,53,100,2.6
Antalaha,MG,-14.9,18.73,90,36,2.61
Casas Grandes,MX,30.15,31.98,38,12,1.51
Marisel,RO,46.65,19.0,88,0,1.06
Medicine Hat,CA,50.04,32.0,19,75,6.2
Atasu,KZ,48.68,16.68,91,0,3.64
Tambovka,UA,46.93,22.38,62,0,5.04
Belyy Yar,RU,53.6,11.0,93,0,1.16
Aklavik,CA,68.22,8.24,93,90,5.7
Arriana,GR,41.08,23.98,81,0,3.59
Marfino,RU,56.07,13.57,100,0,3
Tezu,IN,27.93,20.58,95,24,0.36
Mponela,MW,-13.53,14.0,71,0,1
Pa Sang,TH,18.53,23.43,88,20,1
Lapugiu de Jos,RO,45.88,17.08,91,0,1.06
Pizarro,CO,4.95,26.28,97,76,1.51
Caucaia,BR,-3.73,26.0,83,75,5.1
Kingman,US,35.19,44.21,16,1,3.1
Padang,ID,-0.92,25.63,100,36,0.61
Olinda,EC,-2.03,26.0,65,75,3.1
Beringovskiy,RU,63.05,13.83,91,24,3.24
Were Ilu,ET,10.6,10.28,100,64,1.29
Saint-Denis,FR,48.94,21.84,60,0,7.7
Bundaberg,AU,-24.87,16.43,100,0,6.11
Langsa,ID,4.47,21.43,91,80,0.99
Kailua,US,21.39,30.26,58,75,5.7
Henties Bay,NA,-22.12,11.43,100,0,4.49
Kitimat,CA,54.02,29.0,28,20,5.7
Sinnamary,GF,5.38,27.73,94,20,5.76
Lianzhou,CN,24.79,26.23,78,0,1.34
Bhachau,IN,23.3,25.93,83,76,2.56
Betare Oya,CM,5.6,20.18,93,92,1.14
Mocuba,MZ,-16.84,18.68,70,0,1.66
Portland,US,45.52,33.97,28,40,4.6
Fort Nelson,CA,58.81,26.0,34,75,3.6
Dudinka,RU,69.41,11.58,71,92,7.19
Curvelo,BR,-18.76,20.73,80,8,2.61
Labuhan,ID,-2.54,23.58,88,20,1.36
Bolpur,IN,23.66,25.23,97,92,4.94
Ajdabiya,LY,30.75,32.63,28,0,6.19
Constitucion,MX,23.99,24.0,41,90,3.1
Torata,PE,-17.08,3.68,52,0,0.59
Solhan,TR,38.97,11.63,57,0,1.51
Juneau,US,58.3,16.58,82,90,4.6
Ancud,CL,-41.87,4.43,89,36,1.79
Lac-Megantic,CA,45.58,22.0,94,75,2.46
Nalut,LY,31.86,24.48,66,0,2.84
Chicama,PE,-7.84,17.0,82,90,4.1
Ingham,AU,-18.65,20.03,91,0,4.36
Jacareacanga,BR,-6.22,28.58,69,12,0.91
Gorin,US,40.36,27.37,69,1,3.6
Necochea,AR,-38.55,14.28,71,92,4.39
Arlit,NE,18.74,25.28,78,56,3.36
Lagoa,PT,37.14,24.0,53,0,3.6
Pangai,TO,-19.8,23.0,64,75,5.1
Fairbanks,US,64.84,16.35,55,90,4.1
Iqaluit,CA,63.75,10.0,71,75,6.2
Synya,RU,65.37,13.08,99,92,2.46
Tabou,CI,4.42,25.08,100,24,5.86
Tabuk,PH,17.41,22.23,96,48,0.89
Komsomolskiy,RU,67.55,11.58,96,92,3.31
Xingcheng,CN,40.62,21.83,100,100,3.84
Coos Bay,US,43.37,14.87,87,90,8.2
Bulawayo,ZW,-20.16,12.78,54,0,0.89
Buluang,PH,10.47,28.0,74,75,3.6
Vanimo,PG,-2.67,26.33,100,80,4.96
Sao Joao da Barra,BR,-21.64,20.0,88,75,3.6
Kamaishi,JP,39.28,22.0,73,75,6.2
Shangrao,CN,28.45,24.33,94,36,1.44
Itamaraca,BR,-7.75,23.45,78,0,6.2
Hasaki,JP,35.73,23.02,100,90,7.2
Pahrump,US,36.21,41.57,6,1,4.1
Seoul,KR,37.57,28.61,88,75,1.59
Samarai,PG,-10.62,25.43,100,80,4.99
Luena,AO,-11.78,13.33,42,0,2.26
Krasnyy Chikoy,RU,50.36,14.33,92,68,1.14
Hailar,CN,49.2,18.03,98,76,2.04
Kudahuvadhoo,MV,2.67,28.58,100,12,7.36
Port Hedland,AU,-20.31,9.0,45,0,4.89
Krasnogorsk,RU,55.82,13.84,100,0,3
Columbus,US,32.46,28.41,100,1,1.44
Bal-os,PH,9.44,24.48,100,92,4.99
Lhokseumawe,ID,5.18,28.98,95,64,2.49
Maragogi,BR,-9.01,22.83,90,80,2.56
Huilong,CN,28.89,25.83,87,0,1.21
Gawler,AU,-34.6,13.0,82,75,6.2
Tilichiki,RU,60.47,14.43,94,56,3.19
La Pena,MX,23.56,22.93,56,76,1.24
Banff,CA,51.18,21.73,29,0,0.99
Mezen,RU,65.85,9.73,82,48,1.96
Okitipupa,NG,6.5,22.93,92,76,1.29
Willowmore,ZA,-33.3,-1.62,85,44,1.14
Mareeba,AU,-16.99,24.0,36,40,6.7
Aki,JP,33.51,29.0,62,75,2.6
Luau,CD,-10.7,16.78,39,0,2.36
Purworejo,ID,-7.71,21.98,92,0,2.06
Misratah,LY,32.38,26.93,91,0,4.96
Kutum,SD,14.2,16.93,96,44,1.29
Tarnogskiy Gorodok,RU,60.5,7.88,89,0,1.91
El Copey,CO,10.15,24.18,86,20,0.81
Whitehorse,CA,60.72,15.0,72,90,6.2
Cardston,CA,49.2,30.0,23,1,6.2
Salym,RU,60.06,15.03,98,0,2.01
Veraval,FR,49.65,17.5,93,90,4.6
Arroyo,US,41.39,24.02,88,75,1.14
Santiago del Estero,AR,-27.8,21.68,65,0,3.41
Xaxim,BR,-26.96,12.53,75,0,2.86
Smithers,CA,54.78,29.0,20,20,2.6
Bontang,ID,0.12,27.23,97,56,3.94
Iwaki,JP,37.05,20.0,100,75,9.3
Ongandjera,NA,-17.88,15.48,41,0,5.06
Katobu,ID,-4.94,26.43,96,8,2.06
Mbaiki,CF,3.87,20.58,97,48,1.01
Amahai,ID,-3.31,25.08,100,76,4.74
Puerto del Rosario,ES,28.5,22.44,78,0,6.2
Hamilton,BM,32.3,27.0,78,40,2.6
Bandar,ID,-4.2,25.08,74,36,1.91
Hede,SE,60.45,18.0,77,20,2.6
Puerto Penasco,MX,31.32,32.98,81,24,6.19
Saint-Pierre,FR,48.95,26.11,57,0,5.7
Ulladulla,AU,-35.36,12.0,98,0,3.1
Klaksvik,FO,62.23,10.0,100,80,5.1
Pitsunda,GE,43.16,24.0,78,75,5
Vestmannaeyjar,IS,63.44,10.33,79,0,8.86
Margate,AU,-43.03,11.0,71,40,8.7
Shklo,UA,49.95,14.0,93,0,1.26
Kepanjen,ID,-8.13,22.93,93,80,5.56
Mobara,JP,35.45,22.85,94,75,6.2
Nabire,ID,-3.36,22.68,92,80,0.09
Pacific Grove,US,36.62,20.65,37,1,4.6
Coquimbo,CL,-29.95,14.0,71,0,1.5
Moron de la Frontera,ES,37.12,23.95,61,0,2.6
Miles City,US,46.41,33.0,17,1,4.6
Simbahan,PH,6.3,28.63,99,56,8.56
Hofn,IS,64.25,9.53,95,48,5.09
Shache,CN,38.42,16.68,57,0,1.61
Kuusamo,FI,65.96,6.0,100,0,1
Santa Elena,EC,-2.23,22.0,88,75,4.6
Baruun-Urt,MN,46.68,18.73,78,0,0.79
Guangyuan,CN,32.43,23.63,88,68,1.21
Darfo,IT,45.88,25.01,69,0,3.1
Kalmunai,LK,7.42,22.88,91,20,1.11
Frederico Westphalen,BR,-27.36,13.43,72,0,4.09
South Sioux City,US,42.47,27.01,61,1,1.39
Marzuq,YE,14.4,19.68,69,56,1.46
Tomatlan,MX,19.93,27.53,73,56,3.19
Svetlaya,RU,46.54,18.38,92,36,1.46
Saint-Jean-de-Maurienne,FR,45.28,26.0,61,32,3.6
Mikkeli,FI,61.69,9.0,100,0,1.84
Ginir,ET,7.14,15.98,56,0,5.04
Duminichi,RU,53.93,13.23,83,0,3.99
Mankono,CI,8.06,20.73,98,80,1.56
Santa,PH,17.49,22.68,95,92,1.59
